localName,domains
AsynchronousMachineDynamics,cim:AsynchronousMachine cim:MechanicalLoadDynamics cim:TurbineGovernorDynamics cim:WindTurbineType1or2Dynamics
BaseVoltage,cim:ConductingEquipment cim:TopologicalNode cim:TransformerEnd cim:VoltageLevel
BusNameMarker,cim:ACDCTerminal cim:ReportingGroup
ConductingEquipment,cim:BaseVoltage cim:SvStatus cim:Terminal icim:ProtectiveActionAdjustment
ConnectivityNodeContainer,cim:ConnectivityNode cim:TopologicalNode
ConnectivityNodes,cim:ConnectivityNodeContainer cim:TopologicalNode
ControlArea,cim:ControlAreaGeneratingUnit cim:EnergyArea cim:TieFlow pti:EnergySchedulingArea
ControlAreaGeneratingUnit,cim:ControlArea cim:GeneratingUnit
DCConductingEquipment,cim:ACDCConverterDCTerminal cim:DCTerminal
DCEquipmentContainer,cim:DCNode cim:DCTopologicalNode
DCNodes,cim:DCEquipmentContainer cim:DCTopologicalNode
DCTerminals,cim:ACDCConverter cim:DCConductingEquipment cim:DCNode cim:DCTopologicalNode
DCTopologicalNode,cim:DCBaseTerminal cim:DCEquipmentContainer cim:DCNode
DependentOn,fw:ModelSpecification md:Model
Diagram,cim:DiagramObject cim:DiagramStyle pid:DiagramObjectGluePoint
DiagramObject,cim:DiagramObjectPoint pid:TextDiagramObject
DiagramObjectPoints,cim:DiagramObject cim:DiagramObjectGluePoint
DiscontinuousExcitationControlDynamics,cim:ExcitationSystemDynamics cim:RemoteInputSignal
EnergyCongestionZone,entsoe2:EnergySchedulingArea pti:ControlAreaGeneratingUnit
EnergyConsumer,cim:LoadDynamics cim:LoadResponseCharacteristic
EnergyConsumers,cim:ConformLoadGroup cim:NonConformLoadGroup
EnergySource,cim:WindTurbineType3or4Dynamics entsoe:EnergySchedulingType
Equipment,cim:OperationalLimitSet icim:PinEquipment icim:ProtectiveActionEquipment
ExcitationSystemDynamics,cim:DiscontinuousExcitationControlDynamics cim:OverexcitationLimiterDynamics cim:PFVArControllerType1Dynamics cim:PFVArControllerType2Dynamics cim:PowerSystemStabilizerDynamics cim:SynchronousMachineDynamics cim:UnderexcitationLimiterDynamics cim:VoltageCompensatorDynamics
GenICompensationForGenJ,cim:SynchronousMachineDynamics cim:VCompIEEEType2
GeneratingUnit,cim:ControlAreaGeneratingUnit cim:GrossToNetActivePowerCurve cim:RotatingMachine
HydroPowerPlant,cim:HydroGeneratingUnit cim:HydroPump
LimitSet,cim:AccumulatorLimit cim:AnalogLimit
LimitSets,cim:Accumulator cim:Analog
Limits,cim:AccumulatorLimitSet cim:AnalogLimitSet
LoadAggregate,cim:LoadMotor cim:LoadStatic
LoadGroup,cim:ConformLoad cim:NonConformLoad
Location,cim:CoordinateSystem cim:PositionPoint cim:PowerSystemResource
Measurements,cim:ACDCTerminal cim:AccumulatorLimitSet cim:AnalogLimitSet cim:PowerSystemResource
MechanicalLoadDynamics,cim:AsynchronousMachineDynamics cim:SynchronousMachineDynamics
OperationalLimitSet,cim:ACDCTerminal cim:Equipment cim:OperationalLimit
PFVArControllerType1Dynamics,cim:ExcitationSystemDynamics cim:RemoteInputSignal cim:VoltageAdjusterDynamics
